iter	Passed	Remaining
0	0	31
1	0	26
2	0	24
3	0	22
4	1	22
5	1	21
6	1	21
7	1	20
8	2	20
9	2	19
10	2	20
11	2	19
12	2	19
13	3	19
14	3	19
15	3	19
16	8	39
17	8	37
18	8	35
19	8	34
20	8	33
21	9	32
22	9	31
23	9	30
24	9	29
25	9	28
26	10	27
27	10	26
28	10	25
29	10	25
30	11	24
31	11	23
32	11	23
33	11	22
34	11	22
35	12	21
36	12	20
37	12	20
38	12	19
39	12	19
40	13	18
41	13	18
42	13	17
43	13	17
44	13	16
45	14	16
46	14	16
47	14	15
48	14	15
49	14	14
50	15	14
51	15	14
52	15	13
53	15	13
54	15	12
55	15	12
56	16	12
57	16	11
58	16	11
59	16	11
60	16	10
61	17	10
62	17	10
63	17	9
64	17	9
65	18	9
66	18	8
67	18	8
68	18	8
69	18	8
70	19	7
71	19	7
72	19	7
73	19	6
74	19	6
75	20	6
76	20	6
77	20	5
78	20	5
79	20	5
80	21	4
81	21	4
82	21	4
83	21	4
84	21	3
85	22	3
86	22	3
87	22	3
88	22	2
89	22	2
90	23	2
91	23	2
92	23	1
93	23	1
94	24	1
95	24	1
96	24	0
97	24	0
98	24	0
99	25	0
