iter	Passed	Remaining
0	48	48150
1	48	24225
2	48	16234
3	49	12230
4	49	9831
5	49	8224
6	49	7089
7	50	6231
8	50	5568
9	50	5034
10	51	4592
11	51	4228
12	51	3917
13	51	3653
14	52	3420
15	52	3216
16	52	3037
17	52	2877
18	52	2734
19	53	2606
20	53	2490
21	53	2385
22	53	2288
23	54	2199
24	54	2118
25	54	2042
26	54	1973
27	54	1908
28	55	1848
29	55	1792
30	55	1739
31	55	1689
32	56	1643
33	56	1600
34	56	1558
35	56	1519
36	56	1483
37	57	1448
38	57	1415
39	57	1383
40	57	1353
41	58	1324
42	58	1296
43	58	1270
44	58	1245
45	58	1221
46	59	1198
47	59	1176
48	59	1155
49	59	1134
50	59	1115
51	60	1096
52	60	1078
53	60	1060
54	60	1044
55	60	1027
56	61	1012
57	61	997
58	61	983
59	61	969
60	62	956
61	62	942
62	62	930
63	62	917
64	62	906
65	63	894
66	63	883
67	63	872
68	63	862
69	64	851
70	64	841
71	64	831
72	64	821
73	64	812
74	65	803
75	65	794
76	65	785
77	65	776
78	65	768
79	66	760
80	66	752
81	66	745
82	66	736
83	66	729
84	67	722
85	67	715
86	67	708
87	67	701
88	67	695
89	68	689
90	68	682
91	68	676
92	68	670
93	69	665
94	69	659
95	69	653
96	69	648
97	69	643
98	70	638
99	70	632
100	70	627
101	70	622
102	70	618
103	71	613
104	71	608
105	71	604
106	71	599
107	72	595
108	72	590
109	72	586
110	72	582
111	72	577
112	73	573
113	73	569
114	73	565
115	73	561
116	73	557
117	74	553
118	74	550
119	74	546
120	74	542
121	74	538
122	75	535
123	75	531
124	75	528
125	75	525
126	75	521
127	76	518
128	76	515
129	76	512
130	76	509
131	76	506
132	77	502
133	77	499
134	77	496
135	77	494
136	77	491
137	78	488
138	78	485
139	78	482
140	78	479
141	78	476
142	79	474
143	79	471
144	79	468
145	79	466
146	79	463
147	80	461
148	80	458
149	80	456
150	80	453
151	80	451
152	81	449
153	81	446
154	81	444
155	81	442
156	81	440
157	82	438
158	82	435
159	82	433
160	82	431
161	82	429
162	83	426
163	83	424
164	83	422
165	83	420
166	83	418
167	84	416
168	84	414
169	84	412
170	84	411
171	84	409
172	85	407
173	85	405
174	85	403
175	85	401
176	86	400
177	86	398
178	86	396
179	86	394
180	86	393
181	87	391
182	87	389
183	87	387
184	87	386
185	87	384
186	88	383
187	88	381
188	88	379
189	88	378
190	88	376
191	89	375
192	89	373
193	89	372
194	89	370
195	89	369
196	90	367
197	90	366
198	90	364
199	90	363
200	91	361
201	91	360
202	91	358
203	91	357
204	91	356
205	92	354
206	92	353
207	92	352
208	92	350
209	92	349
210	93	348
211	93	346
212	93	345
213	93	344
214	93	343
215	94	341
216	94	340
217	94	339
218	94	338
219	94	336
220	95	335
221	95	334
222	95	333
223	95	332
224	96	330
225	96	329
226	96	328
227	96	327
228	96	326
229	97	325
230	97	324
231	97	322
232	97	321
233	97	320
234	98	319
235	98	318
236	98	317
237	98	316
238	99	315
239	99	314
240	99	313
241	99	312
242	99	310
243	100	309
244	100	308
245	100	307
246	100	306
247	100	305
248	101	304
249	101	303
250	101	302
251	101	301
252	101	300
253	102	299
254	102	298
255	102	297
256	102	297
257	103	296
258	103	295
259	103	294
260	103	293
261	103	292
262	104	291
263	104	290
264	104	289
265	104	288
266	104	288
267	105	287
268	105	286
269	105	285
270	105	284
271	105	283
272	106	282
273	106	281
274	106	281
275	106	280
276	107	279
277	107	278
278	107	277
279	107	277
280	107	276
281	108	275
282	108	274
283	108	273
284	108	273
285	109	272
286	109	271
287	109	270
288	109	269
